ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,12,1992,93.2,25.9
6,Pongola - SASRI,1,1993,59.6,26
6,Pongola - SASRI,2,1993,97.2,25
6,Pongola - SASRI,3,1993,166.3,23.7
6,Pongola - SASRI,4,1993,13.2,22.8
6,Pongola - SASRI,5,1993,13.7,20.1
6,Pongola - SASRI,6,1993,8.9,17.2
6,Pongola - SASRI,7,1993,0.6,17.8
6,Pongola - SASRI,8,1993,20.3,18.3
6,Pongola - SASRI,9,1993,22.2,21.5
6,Pongola - SASRI,10,1993,156.5,21.4
6,Pongola - SASRI,11,1993,29.5,22.4
6,Pongola - SASRI,12,1993,105.9,24.6
6,Pongola - SASRI,1,1994,55.8,24.8
6,Pongola - SASRI,2,1994,38.8,24.7
6,Pongola - SASRI,3,1994,137.2,24.2
6,Pongola - SASRI,4,1994,12,22
6,Pongola - SASRI,5,1994,4.3,19.3
6,Pongola - SASRI,6,1994,2,17.4
6,Pongola - SASRI,7,1994,7.2,15.9
6,Pongola - SASRI,8,1994,0.2,17.6
6,Pongola - SASRI,9,1994,9.8,20.6
6,Pongola - SASRI,10,1994,97,19.6
6,Pongola - SASRI,11,1994,59.4,23.6
6,Pongola - SASRI,12,1994,169.3,23.8
6,Pongola - SASRI,1,1995,50.3,25.7
6,Pongola - SASRI,2,1995,23.5,26.3
6,Pongola - SASRI,3,1995,86.2,24.2
6,Pongola - SASRI,4,1995,40.6,21.3
6,Pongola - SASRI,5,1995,25.2,18.9
6,Pongola - SASRI,6,1995,4.8,16.9
6,Pongola - SASRI,7,1995,0,17.4
6,Pongola - SASRI,8,1995,8.7,19.1
6,Pongola - SASRI,9,1995,1.4,22
6,Pongola - SASRI,10,1995,69,23.1
6,Pongola - SASRI,11,1995,177.8,23.1
6,Pongola - SASRI,12,1995,249.9,22.7
6,Pongola - SASRI,1,1996,150.6,24.8
6,Pongola - SASRI,2,1996,170,25.1
6,Pongola - SASRI,3,1996,77.8,22.6
6,Pongola - SASRI,4,1996,18.1,20.7
6,Pongola - SASRI,5,1996,46,19.7
6,Pongola - SASRI,6,1996,4.3,16.9
6,Pongola - SASRI,7,1996,25,15.2
6,Pongola - SASRI,8,1996,6.8,17.4
6,Pongola - SASRI,9,1996,2.8,21.9
6,Pongola - SASRI,10,1996,120.8,22.4
6,Pongola - SASRI,11,1996,101.4,23.6
6,Pongola - SASRI,12,1996,143.3,24.9
6,Pongola - SASRI,1,1997,111.9,25.4
6,Pongola - SASRI,2,1997,91.4,25.1
6,Pongola - SASRI,3,1997,211.4,23.9
